creators,date,ia_formats,ia_id,ia_url,ol_id,publisher,text_filename,title,trove_url,version_id,work_id
C. J. Dennis 1876-1938,1919,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Raw Cornell Book Zip|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Scandata,cu31924013248491,https://archive.org/details/cu31924013248491,OL24173290M,Sydney Angus & Robertson ltd.,cu31924013248491_djvu.txt,Backblock ballads and later verses by C.J. Dennis ... Illustrated by Hal Gye,https://trove.nla.gov.au/version/49170960,49170960,1161639
C. J. Dennis 1876-1938,1918,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|Single Page Processed JPEG ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|METS|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,backblockballads00dennuoft,https://archive.org/details/backblockballads00dennuoft,OL7047394M,Sydney Angus & Robertson,backblockballads00dennuoft_djvu.txt,Backblock ballads and later verses.,https://trove.nla.gov.au/version/1259589,1259589,1161639
"Public Library, Museums, and National Gallery (Vic.)|Sheffield, Henry",1880,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,catalogueofpubli01publuoft,https://archive.org/details/catalogueofpubli01publuoft,OL7047954M,"Melbourne Fergusson and Moore, printers",catalogueofpubli01publuoft_djvu.txt,The catalogue of the Public Library of Victoria.,https://trove.nla.gov.au/version/1262281,1262281,1164007
George Ernest Butterfield 1883-,1918,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,baycountypastpre1910butt,https://archive.org/details/baycountypastpre1910butt,OL6610497M,[S.l.] C & J Gregory,baycountypastpre1910butt_djvu.txt,Bay County past and present ed. by Geo. E. Butterfield.,https://trove.nla.gov.au/version/50132194,50132194,11660920
Oliver Pomeroy Emerson 1845-,1928,JPEG Thumb|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|MARC|Metadata|Metadata|Scandata|Single Page Processed TIFF ZIP|Contents|Raw Michigan Book Zip,aga4517.0001.001.umich.edu,https://archive.org/details/aga4517.0001.001.umich.edu,OL6720037M,"Garden City, N.Y Doubleday, Doran",aga4517.0001.001.umich.edu_djvu.txt,Pioneer days in Hawaii by Oliver Pomeroy Emerson.,https://trove.nla.gov.au/version/209879233,209879233,11665574
"Mead, Elwood 1858-1936",1920,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|METS|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,helpingmenownfar00meaduoft,https://archive.org/details/helpingmenownfar00meaduoft,OL7048916M,New York MacMillan,helpingmenownfar00meaduoft_djvu.txt,Helping men own farms a practical discussion of government aid in land settlement.,https://trove.nla.gov.au/version/1266202,1266202,1167250
"Mead, Elwood 1858-1936",1920,Item Tile|DjVu|Animated GIF|Standard LuraTech PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata|Scan Factors,helpingmenownfar00mead,https://archive.org/details/helpingmenownfar00mead,OL13523912M,New York The Macmillan company,helpingmenownfar00mead_djvu.txt,Helping men own farms a practical discussion of government aid in land settlement by Elwood Mead.,https://trove.nla.gov.au/version/2343027,2343027,1167250
"Mead, Elwood 1858-[from old catalog]",1920,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|Single Page Processed JPEG ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,helpingmenownfar00meadrich,https://archive.org/details/helpingmenownfar00meadrich,OL7117930M,New York The Macmillan company,helpingmenownfar00meadrich_djvu.txt,Helping men own farms a practical discussion of government aid in land settlement,https://trove.nla.gov.au/version/1577353,1577353,1167250
Havelock Ellis 1859-1939,1933,DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|JSON|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|RePublisher Proxy Tar|Scandata|JPEG Thumb|Unknown,B2044249X,https://archive.org/details/B2044249X,OL25592325M,London Heinemann,B2044249X_djvu.txt,Psychology of sex a manual for students by Havelock Ellis,https://trove.nla.gov.au/version/209755427,209755427,11684598
William Woolls 1814-1893,1867,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,contributiontofl00woolrich,https://archive.org/details/contributiontofl00woolrich,OL7049877M,Sydney F. White,contributiontofl00woolrich_djvu.txt,A contribution to the flora of Australia by William Woolls.,https://trove.nla.gov.au/version/1270498,1270498,1171050
