children,contributors,date,form,fulltext_url,pages,parent,title,trove_id,url,volume
,Australia. Royal Commission on the Basic Wage,1921,Book,https://nla.gov.au/nla.obj-450178571,22,,Royal Commission on the basic wage : supplementary report / Royal Commission on the Basic Wage,nla.obj-450178571,https://trove.nla.gov.au/work/10342393,
,"Lindsay, Norman, 1879-1969",1918,Book,http://nla.gov.au/nla.obj-37156612,5,,The magic pudding : being the adventures of Bunyip Bluegum written and illustrated by Norman Lindsay : [publisher's brochure],nla.obj-37156612,https://trove.nla.gov.au/work/10354625,
,"Williams, Frederick Gascoyne",1916,Book,http://nla.gov.au/nla.obj-722056748,81,,"Industrial peace : the way to secure industrial efficiency, unity, and national prosperity / by Frederick Gascoyne Williams",nla.obj-722056748,https://trove.nla.gov.au/work/10369705,
,"Lake, John G",1920,Book,http://nla.gov.au/nla.obj-43062826,20,,"The grace of divine healing, and, The secret of miracles / by John G. Lake",nla.obj-43062826,https://trove.nla.gov.au/work/10372293,
,J. W. Pearson & Co,1890-1899,Picture,http://nla.gov.au/nla.obj-232740106,0,,Pearson's Australasian school atlas / compiled expressly for Pearson's school atlas,nla.obj-232740106,https://trove.nla.gov.au/work/10376998,
,"Maiden, J. H. (Joseph Henry), 1859-1925",1909,Book,http://nla.gov.au/nla.obj-20119805,17,,Records of Queensland botanists : a paper read before the above association / by J.H. Maiden,nla.obj-20119805,https://trove.nla.gov.au/work/10379831,
,"Mathews, R. H. (Robert Hamilton), 1841-1918",1904,Book,http://nla.gov.au/nla.obj-761029739,8,,[Ethnology of the Australian Aborigines : bibliography of 95 articles / published by R.H. Mathews],nla.obj-761029739,https://trove.nla.gov.au/work/10383461,
,"Melville, Fred J. (Fred John), 1882-1940",1915,Book,http://nla.gov.au/nla.obj-8784728,52,,Melville's catalogue of war stamps of 1914-15 / by Fred J. Melville,nla.obj-8784728,https://trove.nla.gov.au/work/10386248,
,Great Britain. War Office,1937-1940,Book,http://nla.gov.au/nla.obj-52796408,30,,Physical training tables without apparatus and the sequence of instruction in recreational training subjets,nla.obj-52796408,https://trove.nla.gov.au/work/10387718,
,,1920-1929,Book,http://nla.gov.au/nla.obj-94469717,40,,Billy Maloney song book,nla.obj-94469717,https://trove.nla.gov.au/work/10387986,
,,1920-1929,Book,http://nla.gov.au/nla.obj-38212919,36,,Sid Beck's song winners,nla.obj-38212919,https://trove.nla.gov.au/work/10388289,
,"Moran, Patrick Francis, 1830-1911",1906-1907,Book,http://nla.gov.au/nla.obj-52782943,36,,"Discovery of Australia by De Quiros, 1606 / by Cardinal Moran",nla.obj-52782943,https://trove.nla.gov.au/work/10392649,
,"Willard, Pemberton W",1886,Book,http://nla.gov.au/nla.obj-52854039,34,,"Japanese village : the native village is peopled by Japanese men, women and children in native costume who daily illustrate the art industries of Japan / director [ie, promoted by] Pemberton W. Willard",nla.obj-52854039,https://trove.nla.gov.au/work/10412589,
,"Van Leer, B.",1883,Book,http://nla.gov.au/nla.obj-451174412,48,,Nieuw Zuid Wales : vooruitgang en hulpbronnen / uitgegven op last der Commissie voor de Internationale Tentoonstelling te Amsterdam ; vertaald door B. van Leer,nla.obj-451174412,https://trove.nla.gov.au/work/10413094,
,"North, Alfred J. (Alfred John), 1855-1917",1889,Book,http://nla.gov.au/nla.obj-439942651,12,,Notes on the oology of Lord Howe Island / by A.J. North,nla.obj-439942651,https://trove.nla.gov.au/work/10416140,
